,Offshore mean,Offshore std,Crossing mean,Crossing std,Inshore mean,Inshore std
706,0.0014719412061281337,0.0069166894641674555,0.0010327718814504884,0.004259022285431928,0.0016936031406685236,0.006826425978692626
707,0.0014628212729805013,0.006909175928081821,0.0010251622064156205,0.004257323140620126,0.0016850603426183846,0.00682007861779793
708,0.001458350409470752,0.006923717166644124,0.0010207386806136683,0.004268987103478019,0.0016817408231197773,0.006834904995825869
709,0.0014607486281337048,0.00694272327224231,0.0010214223152022316,0.004283078256261678,0.0016840346977715877,0.00685345342772372
710,0.0014415794359331476,0.006890666857031462,0.0010067293486750349,0.004254622659188898,0.0016643407130919221,0.006805034151056195
711,0.001439469742339833,0.006923494253558799,0.001003592168758717,0.004276939783558753,0.0016640698133704734,0.006838311556924565
712,0.0014426789540389973,0.006960929415802004,0.001004356620641562,0.0043019605906244604,0.001668213331476323,0.006875720028158552
713,0.0014395126629526461,0.006951505500485325,0.0010003857126917714,0.004294839339802736,0.0016636282910863507,0.006867119913264863
714,0.0014347565111420613,0.006952902257232055,0.0009945580725244075,0.004291465439997431,0.0016582076754874653,0.00686782826863608
715,0.001432856208913649,0.006969593528641809,0.000990511711297071,0.004296922523155264,0.0016559653105849583,0.006882868296378835
716,0.0014341396114206128,0.006996559724886683,0.000988648669456067,0.004308466303322558,0.0016568028036211698,0.006907233622906913
717,0.0014386749456824512,0.0070251685953203165,0.0009894201032078103,0.004321512548408005,0.0016603475445682448,0.006932584868226838
718,0.0014367453467966577,0.007022514019600692,0.000985765938633194,0.004315845630238759,0.0016566022883008358,0.006928192768156731
719,0.0014228578816155987,0.0070122065782720275,0.0009731547935843795,0.004305808545536936,0.0016430237465181062,0.006917296358127673
720,0.001434521150417827,0.007090665901972222,0.000979334509065551,0.004352602153981508,0.001656425913649025,0.006991948180956497
721,0.0014273416532033425,0.007073889566876988,0.0009729727935843795,0.0043427068065562974,0.0016485306476323124,0.006975561089380253
722,0.0014152600584958215,0.00705378901740915,0.0009629610125523012,0.004331029128122694,0.001636618282729805,0.006956396251566606
723,0.001411458033426184,0.0070757463115769794,0.0009586352761506276,0.004344188602116932,0.0016342606963788303,0.006976565344711659
724,0.0014059587980501391,0.007070942973784034,0.0009536576861924687,0.004341338814004707,0.0016288378064066853,0.006970534690842004
725,0.001396233749303621,0.007047391313568631,0.0009458520041841005,0.004327419254619848,0.0016188503704735375,0.006946713146562532
726,0.0013878911350974931,0.007043093998586845,0.0009388967364016737,0.004325019932335669,0.001611487863509749,0.006941567501090522
727,0.001391172233983287,0.0070590733089843346,0.0009406463179916318,0.004334742257080546,0.0016150006114206126,0.006955973595641808
728,0.00138568206545961,0.007030231536273459,0.0009367034700139468,0.0043182546491526185,0.0016087612144846798,0.006928427278294849
729,0.0013710741462395542,0.006996138551337466,0.0009260035955369595,0.004298924362009692,0.0015951485947075207,0.006896522633452346
730,0.0013742530543175487,0.0070187171535846665,0.0009283847377963737,0.004317065644728225,0.00160017080362117,0.006921026843875059
